threads,workload,total_requests,total_success,total_fail,throughput,avg_latency_ms
10,put_all,5414,5414,0,180.467,55.4395
10,get_all,11705,11705,0,390.167,25.6329
10,get_popular,185560,185560,0,6185.33,1.63323
10,get_put,7792,7792,0,259.733,38.5228
10,put_all,5457,5457,0,181.9,55.0084
10,get_all,11642,11642,0,388.067,25.7692
10,get_popular,222464,222464,0,7415.47,1.35354
10,get_put,7934,7934,0,264.467,37.8231
10,put_all,4496,4496,0,149.867,66.7678
10,get_all,9848,9848,0,328.267,30.4702
10,get_popular,134926,134926,0,4497.53,2.24784
10,get_put,6396,6396,0,213.2,46.9531
100,put_all,10959,10955,4,182.583,549.386
100,get_all,19003,19003,0,316.717,316.373
100,get_popular,240469,240453,16,4007.55,28.2776
100,get_put,13770,13759,11,229.317,437.095
15,put_all,10248,10248,0,170.8,87.8701
10,put_all,9485,9485,0,158.083,63.2765
10,get_all,19724,19724,0,328.733,30.4221
10,get_popular,270693,270693,0,4511.55,2.22219
10,get_put,12396,12396,0,206.6,48.4224
15,put_all,10208,10208,0,170.133,88.2999
15,get_all,20960,20960,0,349.333,42.9431
15,get_popular,272338,272338,0,4538.97,3.31767
15,get_put,13192,13192,0,219.867,68.2532
20,put_all,10371,10371,0,172.85,115.765
20,get_all,18502,18502,0,308.367,64.8845
20,get_popular,229816,229816,0,3830.27,5.24749
20,get_put,12944,12944,0,215.733,92.7658
25,put_all,10831,10831,0,180.517,138.641
25,get_all,21458,21458,0,357.633,69.9287
25,get_popular,275385,275385,0,4589.75,5.47742
25,get_put,13773,13773,0,229.55,108.974
30,put_all,10980,10980,0,183,164.099
30,get_all,21558,21558,0,359.3,83.5313
30,get_popular,277799,277799,0,4629.98,6.52158
30,get_put,13896,13896,0,231.6,129.638
35,put_all,10885,10884,1,181.4,193.199
35,get_all,21613,21613,0,360.217,97.2183
35,get_popular,273413,273413,0,4556.88,7.73409
35,get_put,14089,14089,0,234.817,149.18
40,put_all,11044,11042,2,184.033,217.656
40,get_all,21378,21378,0,356.3,112.351
40,get_popular,276360,276360,0,4606,8.74003
40,get_put,14098,14098,0,234.967,170.385
50,put_all,10992,10982,10,183.033,273.545
50,get_all,21295,21295,0,354.917,140.987
50,get_popular,269380,269380,0,4489.67,11.2133
50,get_put,12899,12899,0,214.983,233.01
40,put_all,10607,10598,9,176.633,226.76
100,get_put,68084,68070,14,226.9,440.975
300,put_all,12393,6501,5892,108.35,2821.49
300,get_all,21769,12813,8956,213.55,1688.67
300,get_popular,238332,238272,60,3971.2,88.4755
400,put_all,25641,19244,6397,160.367,2510.22
400,get_popular,644872,644744,128,5372.87,93.8228
400,get_popular,779113,779069,44,6492.24,63.3647
400,get_popular,898568,898568,0,7488.07,53.4349
800,get_popular,888005,888005,0,7400.04,108.198
1200,get_popular,1783911,1783889,22,7432.87,161.503
1500,get_popular,1755297,1755177,120,7313.24,205.197
1000,get_popular,332481,329772,2709,1374.05,772.329
1000,get_popular,5353677,46261,5307416,154.203,6375.14
500,get_popular,114470,40633,73837,135.443,3766.02
400,put_all,58948,28794,30154,95.98,4222.76
300,get_popular,694681,694662,19,2315.54,132.112
400,get_popular,636420,636370,50,2121.23,193.527
